from,to,count
CEBPB,CCND1,10
CEBPB,MEIS3,10
CEBPB,MDGA1,10
CEBPB,TSHZ3,10
CEBPB,GPM6B,10
CEBPB,MXI1,10
CEBPB,BTG1,10
CEBPB,YPEL2,10
CEBPB,ELMSAN1,10
CEBPB,WTAP,10
CEBPB,KDM6B,10
CEBPB,UBALD2,10
CEBPB,RANGAP1,10
CEBPB,AZIN1,10
CEBPB,ZFP36L1,10
CEBPB,MEF2D,10
CEBPB,MAF,10
CEBPB,IRS2,10
CEBPB,SOX4,10
CEBPB,KLF6,10
CEBPB,SDK1,10
CEBPB,FBLIM1,10
CEBPB,HES1,10
CEBPB,TBX3,10
CEBPB,ZEB2,10
CEBPB,HDAC5,10
CEBPB,NTN1,10
CEBPB,KLF4,10
CEBPB,SLC25A37,10
CEBPB,PMEPA1,10
CEBPB,CSGALNACT1,10
CEBPB,CHST11,10
CEBPB,KLF9,10
CEBPB,GOLPH3,10
CEBPB,MAPK6,10
CEBPB,TLE1,10
CEBPB,GRASP,10
CEBPB,ARL4C,10
CEBPB,SLCO3A1,10
CEBPB,YY1,10
CEBPB,BBC3,10
CEBPB,ATP2A2,10
CEBPB,ACKR3,10
CEBPB,LBH,10
CEBPB,SOCS2,10
CEBPB,KIFC3,10
CEBPB,DRAM1,10
CEBPB,MAP4K4,10
